Date,Step count
1/9/2018,6750
1/10/2018,111
1/11/2018,219
1/12/2018,15940
1/13/2018,23041
1/14/2018,25607
1/15/2018,6967
1/16/2018,2030
1/17/2018,514
1/18/2018,16072
1/19/2018,13894
1/20/2018,28725
1/21/2018,43623
1/22/2018,34562
1/23/2018,21807
1/24/2018,16272
1/25/2018,17061
1/26/2018,10558
1/27/2018,18231
1/28/2018,15565
1/29/2018,4182
1/30/2018,26891
1/31/2018,10671
2/1/2018,22395
2/2/2018,30909
2/3/2018,14065
2/4/2018,2108
2/5/2018,12791
2/6/2018,20111
2/7/2018,7077
2/8/2018,6510
2/9/2018,10591
2/10/2018,20738
2/11/2018,33791
2/12/2018,18672
2/13/2018,28037
2/14/2018,3704
2/15/2018,10666
2/16/2018,23118
2/17/2018,26196
2/18/2018,30528
2/19/2018,19621
2/20/2018,15307
2/21/2018,21087
2/22/2018,6264
2/23/2018,23959
2/24/2018,37151
2/25/2018,41304
2/26/2018,13708
2/27/2018,20325
2/28/2018,15620
3/1/2018,27264
3/2/2018,19485
3/3/2018,36512
3/4/2018,28135
3/5/2018,2853
3/6/2018,20750
3/7/2018,30114
3/8/2018,30432
3/9/2018,25994
3/10/2018,30814
3/11/2018,12806
3/12/2018,16661
3/13/2018,20331
3/14/2018,20157
3/15/2018,40057
3/16/2018,34084
3/17/2018,13339
3/18/2018,4933
3/19/2018,14094
3/20/2018,18128
3/21/2018,23797
3/22/2018,23413
3/23/2018,35439
3/24/2018,38083
3/25/2018,24042
3/26/2018,1820
3/27/2018,3393
3/28/2018,22392
3/29/2018,36135
3/30/2018,82108
3/31/2018,33163
4/1/2018,8804
4/2/2018,1875
4/3/2018,7457
4/4/2018,19949
4/5/2018,33291
4/6/2018,7022
4/7/2018,34223
4/8/2018,31203
4/9/2018,675
4/10/2018,5611
4/11/2018,21832
4/12/2018,44066
4/13/2018,21080
4/14/2018,5737
4/15/2018,2231
4/16/2018,10662
4/17/2018,37253
4/18/2018,23599
4/19/2018,30560
4/20/2018,57012
4/21/2018,3945
4/22/2018,7996
4/23/2018,31212
4/24/2018,28350
4/25/2018,13922
4/26/2018,38208
4/27/2018,32040
4/28/2018,32333
4/29/2018,19394
4/30/2018,20123
5/1/2018,19401
5/2/2018,18334
5/3/2018,21850
5/4/2018,33769
5/5/2018,44440
5/6/2018,28520
5/7/2018,12464
5/8/2018,5645
5/9/2018,22335
5/10/2018,26762
5/11/2018,26557
5/12/2018,73819
5/13/2018,6298
5/14/2018,17637
5/15/2018,12902
5/16/2018,36147
5/17/2018,13058
5/18/2018,43539
5/19/2018,49988
5/20/2018,43012
5/21/2018,26450
5/22/2018,24724
5/23/2018,30358
5/24/2018,33393
5/25/2018,50060
5/26/2018,53212
5/27/2018,44081
5/28/2018,31937
5/29/2018,33957
5/30/2018,35314
5/31/2018,11479
6/1/2018,86122
6/2/2018,74230
6/3/2018,10674
6/4/2018,13162
6/5/2018,10611
6/6/2018,30226
6/7/2018,4290
6/8/2018,19757
6/9/2018,17421
6/10/2018,41966
6/11/2018,13473
6/12/2018,19719
6/13/2018,21334
6/14/2018,56029
6/15/2018,43968
6/16/2018,75028
6/17/2018,16594
6/18/2018,46503
6/19/2018,3768
6/20/2018,21700
6/21/2018,29966
6/22/2018,63297
6/23/2018,68356
6/24/2018,26910
6/25/2018,3255
6/26/2018,37570
6/27/2018,46515
6/28/2018,30640
6/29/2018,45269
6/30/2018,10650
7/1/2018,13284
7/2/2018,15960
7/3/2018,22200
7/4/2018,45193
7/5/2018,53265
7/6/2018,32388
7/7/2018,87082
7/8/2018,25371
7/9/2018,3820
7/10/2018,31022
7/11/2018,21823
7/12/2018,53295
7/13/2018,57020
7/14/2018,66921
7/15/2018,20362
7/16/2018,11343
7/17/2018,44400
7/18/2018,60197
7/19/2018,36012
7/20/2018,67238
7/21/2018,40953
7/22/2018,2465
7/23/2018,20159
7/24/2018,44376
7/25/2018,45645
7/26/2018,15746
7/27/2018,25284
7/28/2018,48944
7/29/2018,48303
7/30/2018,25126
7/31/2018,22162
8/1/2018,32295
8/2/2018,40275
8/3/2018,38710
8/4/2018,52818
8/5/2018,36956
8/6/2018,26614
8/7/2018,25659
8/8/2018,11554
8/9/2018,22632
8/10/2018,23587
8/11/2018,52175
8/12/2018,30268
8/13/2018,35142
8/14/2018,36044
8/15/2018,30334
8/16/2018,40155
8/17/2018,49272
8/18/2018,24514
8/19/2018,30180
8/20/2018,31563
8/21/2018,46097
8/22/2018,14590
8/23/2018,41541
8/24/2018,15344
8/25/2018,55671
8/26/2018,17093
